"","df","AIC","deltaAIC","R2","ModelName"
"1",3,400.86201334255,59.4740443941386,-0.00284615794918275,"M"
"2",16,380.234056186651,38.8460872382396,0.199013733797691,"region"
"3",9,393.759424210439,52.3714552620281,0.0818898641457851,"fishtype"
"4",17,378.626592803334,37.2386238549223,0.212551461567966,"region_M"
"5",10,391.024682635967,49.6367136875558,0.104698637353134,"fishtype_M"
"6",23,382.753347071022,41.365378122611,0.217788968994774,"region_fishtype"
"7",24,380.819720203122,39.4317512547109,0.232392046794624,"all"
"8",31,379.173906235104,37.7859372866927,0.268783065234868,"fishtype_M_inter"
"9",37,341.387968948411,0,0.451701177442462,"region_M_inter"
"10",42,366.06033913854,24.6723701901287,0.364865913252163,"fishtype_region_inter"
